PartNumber,Description,Quantity,Location
00111623,ROTEX CLUTCHHUB GS38,0,Unassigned
00111624,"Hub,Rotex GS38 shaft ID=35mm Key=10mm GS38 (1/2 coupling is one each)",1,Unassigned
00111803,Lifting Magnet RM070W-HBOO-N-24V DC 100% ED,3,Unassigned
00111898,ROCK SHAFT WITH BEARING F. GEAR MKSH 16,0,Unassigned
00113404,TRAVEL ROCKER ASSEMBLY travel  rocker assembly,0,Unassigned
00113472,COUPLING/CLUTCH non sap R 28/38.38-B17 Alu,2,Unassigned
00114380,HYDR.-PUMP non sap 0 510 325 006,1,Unassigned
00115682,Pump 16 l/min 0 510 625 022,1,Unassigned
00116588,"FALL BRAKE DEVICE EB 75 GS""RIGHT""V=2.0 non sap GEW.KL:4050-4704 KG    EF",1,Unassigned
00117271,Shock Absorber DS50/1250 Spec. Magnus V1 Buffer Magnus Crane,0,Unassigned
00117271_2,SHOCK ABSORBER DS50/1250 SPEC. MAGNUS/STRATUS,0,Unassigned
00117773,"Spider, Rotex GS38 Shore A-GS RED Rotex Tooth Wheel GS38 Larger",9,Unassigned
00118054,CARDAN SHAFT FITTING FLANGE non sap GF 75-21 X 30 X A,1,Unassigned
00119718,GUIDE RAIL non sap L=125,1,Unassigned
00123718,BEVEL GEAR UNIT non sap GKR05-2N SBR-3E,1,Unassigned
00123750,SUPPORT ROLLER non sap D=50MM CPL.,3,Unassigned
00127121,GUIDE ROLLER non sap KRV 22 PP,3,Unassigned
00127954,PLASTIC COVER PLASTIC COVER,0,Unassigned
00129307,HOUSING non sap HOUSING,0,Unassigned
00129377,LIMIT SWITCH non sap BERNSTEIN 188-U1Z KNW,13,Unassigned
00130377,SPEED-LIMITING DEVICE non sap TYP 7 V=2.0,1,Unassigned
00131077,Roller 30 x 1.2 KL EL=765 M5 Roller 30 x 1.2 KL EL=765 M5,0,Unassigned
00131463,HELICAL GEAR MOTOR B 3 / 2 non sap GST04-2MVCK-071-13,1,Unassigned
00132312,"HELICAL GEAR MOTOR E 2 3/5 non sap GST03-2MVCK-063C42 BRAKE, Motor MDEMA1M063-42",3,Unassigned
00132317,HELICAL GEAR MOTOR E 2 3/5 non sap GST03-2MVCK-063C42,0,Unassigned
00132319,"HELICAL GEAR MOTOR E 2 3/5 GST03-2MVCK-063C42, i= 12.833",1,Unassigned
00132403,"GKR03-2MHAR-063C42 Gearmotor (132403) GKR03-2MHAR-063C42 BRAKE, Motor MDXMA2M06-42 ,
i= 22.270",1,Unassigned
00132615,"GKR03-2 M HAR 063C42 Gearmotor GKR03-2MHAR-063C42 BRAKE, Motor MDEMABR 063-42",1,Unassigned
00132674,"Gearmotor GKR03-2M HBR 063C22 BR06N, Motor MDEMABR063C22U",1,Unassigned
00132676,"FLAT GEAR MOTOR A 1 0 5/4 non sap GFL05-2M SCR 080-33 BR08N , Motor MDEMABR080-33COU",1,Unassigned
00132939,BEVEL SPUR GEARING MOTOR  A 5 non sap GKS04-3M SAK 080-31BL10N,1,Unassigned
00132940,"BEVEL SPUR GEARING MOTOR  A 5 3 5/4 non sap GKS04-3M SAK 080C42BR10N ,  Motor MDXMA2M080-42",3,Unassigned
00133197,FLAT BELT WHITE TC-55EH 30 X 2.5,0,Unassigned
00133636,WORM GEAR MOTOR 4/5/3 non sap GSS04-2MHBR-080C32 BRAKE,0,Unassigned
00133636_2,WORM GEAR MOTOR A   4/5/3  (Z Lift motor) non sap GSS04-2MHBR-080C32 WITH B ; I=17.360,0,Unassigned
00133801,"Gearmotor GKR03-2 M HAR 063C42, GKR03-2MHAR-063C42 BRAKE , Motor MDXMA2M063-42",1,Unassigned
00134470,SHOCK ABSORBER MUSTANG VERL. ZYLINDERROH,0,Unassigned
00134471,SHOCK ABSORBER MUSTANG VERL. ZYLINDERROH,0,Unassigned
00134677,HELICAL GEAR MOTOR B 3 / 2 non sap GST05-2MVCK-080C42 BRAKE,1,Unassigned
00134800,WORM GEAR non sap GSS06-2NVBR-1F,1,Unassigned
00136570,GKR03-2 M HAR 063C32 Gear motor GKR03-2MHAR-063C32 BRAKE,0,Unassigned
00137068,"Gear motor, Gear box GKR03-2MHAR-063C42 , Motor MDEMA1M083-42,  (137068), For Hex shaft,",2,Unassigned
00139313,WORM GEAR MOTOR F 5 0 5/3 non sap GSS04-2M VBR 071C42 BR08N,1,Unassigned
00139497,ROCKSHAFT WITH BEARING  F. GEAR MKSH 16,0,Unassigned
00142421,"Sprocket 5/8"" Z=18 cpl.",2,Unassigned
00142732,2/2 DIRECTION CONTROL VALVE(no sap) EM 11 S-3/8-G 24,0,Unassigned
00142960,FLANGE MOTOR A.C. MDFKABS 100-22 FE-KRA-BR,0,Unassigned
00145180,"SPUR GEAR MOTOR non sap GST06-2M VCK 080C32 BR, Motor MDEMAB5080-32C1U",0,Unassigned
00145723,"GUIDE RAIL non sap SL100X28 X16,4",2,Unassigned
00145724,EXCENTRIC BOLT non sap EBO-KPL D = 20 X 96,1,Unassigned
00145725,"MPS Crane Telefork Gear
Small (CRA1) GEARWHEEL M = 2 TOOHT = 38",1,Unassigned
00145726,"MPS Crane Telefork Gear
Large (CRA1) GEARWHEEL M = 2 TOOHT = 44",3,Unassigned
00146871,"Gearmotor GKR03-2 M VAK 063C12 GKR03-2MVAK-063C12 BRAKE ,Motor MDMEMABR063-12COU",1,Unassigned
00147180,CHAIN DEFLECTION MT non sap KT2004,1,Unassigned
00147711,GUIDE ROLLER non sap KRV 30 PP,2,Unassigned
00148589,FIXINGS F. BRACKET V2,0,Unassigned
00153011,LENS HEAD SCREW M5 X 16 TORX,0,Unassigned
00153649,"BEVEL GEAR 
Mps lift gearbox MKSH 16 BA70 E-F
I=16,8",0,Unassigned
00153649_2,"BEVEL GEAR 
Mps lift gearbox MKSH 16 BA70 E-F
I=16,8",0,Unassigned
00155108,DRIVE PULLEY non sap D=150  TRASH LINE KLATT Conveyor Rubber Roller,2,Unassigned
00155112,TENSIONING PULLEY non sap FB 979 D130,1,Unassigned
00155118,CONVEYOR ROLLER non sap D=60X1.5 Trash Line rolller.,1,Unassigned
00155121,CONVEYOR ROLLER non sap D=50X1.5,1,Unassigned
00155122,CONVEYOR ROLLER non sap D=89X3,1,Unassigned
00157758,"FALL BRAKE DEVICE EB75KS (1 PAAR),V=2.0 non sap GEW.KL:1500-1749 KG    EF",1,Unassigned
00157885,2/2 DIRECTION CONTROL VALVE(no sap) EM 21 S-1/2-G 24,1,Unassigned
00158363,TOOTH BELT P.B=181=SHAFT non sap OMEGA DRIVE SHAFT,0,Unassigned
00161444,"Graded bearing bush, Mustang blocking device spacer LAGERBUCHSE GESTUFT",0,Unassigned
00162023,Bearing bush smooth,4,Unassigned
00163691_2,BEARING FLANGE BEARING FLANGE,0,Unassigned
00163692,"WASHER 6,4 X 19,5 X 4,0 VZ",0,Unassigned
00165481,B/D linkage arm dps crane. long Crank rod long,2,Unassigned
00165482,"B/D linkage arm dps crane, small Crank rod short",0,Unassigned
00166348  (old#),Replacement Unit f. Loaf Chain 8MM 2X3 267 LEFT,0,Unassigned
00167432,DRIVE PULLEY non sap D=30X60,1,Unassigned
00168163,SWITCH-FLAG non sap SWITCH-FLAG,0,Unassigned
00168726,SECHSKANT SW17 H9 L=185 Hexagonal Shaft SW17,0,Unassigned
00172404,SPEED-LIMITING DEVICE non sap TYP 7 V=2.0,1,Unassigned
00173765,"Flyer Chain Pin w/snap ring FLANGE END (DPS) BO- F122 1/2-CPL.
BOLT WITH GROOVE non sap",0,Unassigned
00174296,"THREE PHASE SERVO MOTOR MDFK ABS100-22U
DRIVE MOTOR",0,Unassigned
00175466,Mustang lift table mid section. L=1280mm,0,Unassigned
00176773,SINGLE-JOINTED non sap SHAFT,1,Unassigned
00176958,"THREEPHASE SERVOMOTOR, FLANGE non sap MDSKSBS 071-33 BRAKE",1,Unassigned
00177624,"BUSH  non sap 51,0 X 55,0 X 153 VZ",1,Unassigned
00177763,Conveyor Chain Guide (Nylon Strip) L=920,1,Unassigned
00177767,SPROCKET  non sap 3/4,1,Unassigned
00179328,BEVEL GEAR MOTOR WITH LBK70 non sap GKS11-3 MVAK 160-32 BS 55,1,Unassigned
00179459,"FALL BRAKE DEVICE KB 55S ""RIGHT"",V=2.0 GEW.KL:8400-9599 KG    EF",1,Unassigned
00180292,"GEARBOX KIT VOGEL (NO UNIT) I=12,00 gearbox repair kit flange/spacer/bolts",0,Unassigned
00180980,GKR04-2M SBR 071C42 Gear motor GKR04-2MSBR-071C42 BRAKE,1,Unassigned
00181190,SCALE JAGOLINE 30 MT,0,Unassigned
00181210,BEVEL GEAR MOTOR non sap GKR05-2M SAK 071C42 BR,1,Unassigned
00181216,"SPUR GEAR MOTOR non sap GST05-2M VCR 071C42 BR, Motor MDXMA2M071-42",4,Unassigned
00181224,"SPUR GEAR MOTOR non sap GST05-2M VCR 090-11 BL,Motor  MDERAM2-090-11",4,Unassigned
00183422,BEVEL GEAR MOTOR WITH LBK70(no sap) GKS09-3 MVAK-132C22 BS 55,1,Unassigned
00183503,CHAIN GUIDE  non sap 3/4,1,Unassigned
00185192,"GUIDE RAIL non sap SLE 18X14,1X70-KS",3,Unassigned
00185203,"GUIDE RAIL non sap SLE 28X16,4X60-KS",10,Unassigned
00185215,"GEARWHEEL SPROCKET GEARWHEEL M=2 TOOTH =26  BOLT=15MM, I=65MM",0,Unassigned
00185216,"GEARWHEEL SPROCKET GEARWHEEL M=2 TOOTH =34  BOLT=15MM, I=65MM",0,Unassigned
00185217,"Magnus MPS Telefork Slip Clutch Coupler
CVS CAP EX 300/310/30/30/ALU
INTERMEDIATE AXLE non sap",0,Unassigned
00185222,"CARDAN SHAFT non sap LZ = 245 MM, LA = 25 MM",1,Unassigned
00185240,Flyer Chain Pin w/double snap rings (MPS Upper) F122 1/2 BOLT WITH GROOVE,2,Unassigned
00185355,FLAT GEAR MOTOR non sap GFL05-2M SCK 080C42 BR,1,Unassigned
00185820,FLAT GEAR MOTOR non sap GFL05-2M SCK 071C42 BR,1,Unassigned
