PartNumber,Description,Quantity,Location
0110_31228,13523779/GKR-M55AP Gearmotor Lidder Elem. 06 motor,0,Unassigned
0110_31486,"SPUR GEAR MOTOR non sap GST05-2M VCR 071C42,Motor MDEMAXX071-42COU",1,Unassigned
0110_32815,GST05-2M VCK 080C32 Gear motor GST05-2MVCK-080C32,2,Unassigned
0110_32939,"Gearmotor (147118) GKR03-2 M HBR 063C02BR06N Gearmotor , Gear box  G50AB045MHBR2C00, Motor MDSMAR063-32",1,Unassigned
0110_33008,"HELICAL GEAR MOTOR E 4 non sap GST06-3M VCK 090-11 BL10E , Motor MDERAM2 090-11",2,Unassigned
0110_33094,WORM GEAR MOTOR non sap GSS04 2M HAR 071 C32 00194411,1,Unassigned
0110_33314,"16194546/GKS04-3MHBR071C42 gear motor, Motor MDEMABR071-42COU",1,Unassigned
0110_33381,16232609/GKS09-3NSBR2G Gearmotor,0,Unassigned
0110_54440,13589317/G50AB-MDEMA Gear Motor,0,Unassigned
0152273/00,Collector Arm Complete Phase PHASE ARM WITH BRUSH NO WIRE KST30-55 PH,16,Unassigned
0165006,,0,Unassigned
017240-020X020,Rubber buffer 20x20M6,0,Unassigned
024772,V3-GM-5M-PUR cable socket V3-GM-5M-PUR Tote Erector Prox Wire,8,Unassigned
032798,V1-w-5m-pvc,5,Unassigned
0362/05,keypad small w. PS2/RS232+Alt-Taste FOLIENTA_PS2/RS232,2,Unassigned
0410_14464,Bearing 6004 - 2BRS - C3 - L091,4,Unassigned
0440_12219,Bearing 2206-K-2RS-TVH-C3,1,Unassigned
047958-4,Support roller STR-162x76x175-99-13-35 (185209) STR-162X76X175-99-13-35,2,Unassigned
0480_03750,Support Roller NATV 6 PPA,0,Unassigned
0510_03311,"FLAT BELT (order as 50,000 mm) LR-S1.9E 30 X 1.9 (green) non sap 00076218",489400,Unassigned
0510_18900,FLAT BELT WHITE TCF-50H TC-55EH 30 X 2.5,347,Unassigned
0610_12216,Toothed belt AT10/32/2900/V/PAZ,1,Unassigned
0610_16154,Toothed belt AT10/32/2440/V-PAZ,2,Unassigned
0620_70006034,Toothed belt disk AT/10/Z40,2,Unassigned
0710_00632,CONNECTING LINK 12B-1,10,Unassigned
0780296/00,Collector VKS 10-10/60-6 HS 6m long,4,Unassigned
0781150,Connection material SV10-6/60-100 Bus rail connectors Cranes,6,Unassigned
0808 DU,Bush 8/10 x 8,0,Unassigned
0810_04545,Clamping Set TLK110/10X16,0,Unassigned
0810_19534,Tension set TLK110/025x034,2,Unassigned
0841/03,Tast41-IBS-S2T2 keyboard with display TAST41_IBS_T2,4,Unassigned
087264,DEVIATION WHEEL B-40 Z LIFT DEVIATION WHEEL B- 40 Z LIFT,0,Unassigned
0940_00716,SWITCH - PROXIMITY NBN4-12GM60-A2-V1,5,Unassigned
0950_06242,"Magnet E 73-ROL-N-24-70%ED, rotary solenoid",4,Unassigned
0980_02497,Silencer U-1/4-B,2,Unassigned
0980_06412,Magnet coil MSFG_24/42_50/60_4527,2,Unassigned
0980_22855,Angled plug socket PEV-1/4-WD-LED-24,0,Unassigned
0990_03301,"CARBON BRUSH (GROUND) KMK 30-55 PE
OLD#74598 collector",53,Unassigned
0990_06452,"CARBON BRUSH (PHASE) KMK 30-55 PH
OLD #69694 collector",203,Unassigned
10001141,Cleaning Sticks 12mm Set of 5 cleaning sticks for printer head,12,Unassigned
10020792,"MDFMABS071-32 AC-Motor
CVS CAP EX PEM cylinder motor element 1/2",0,Unassigned
10020792_2,MDFMABS071-32 AC motor PEM element 01/02 cylinder motor,0,Unassigned
10023,Rubber accentric adjust. for Blocking Device. ,5,Unassigned
10028846,"Counter plate 80x70x8 Opposite plate, rear bearing plate. #16 diagram",0,Unassigned
100421,Tooth Belt Powergrip GT2 600-8MGT-20 POWERGRIP GT2 600-8MGT-20,3,Unassigned
100802,"PKZM0-0,63-C-GVP2 motor protection PKZM_0-1.6",10,Unassigned
100915,Roller  50 X 1.5 KL EL=243 Roller 50 x 1.5 Kl EL=248 Rille,7,Unassigned
10111_00108,"Mustang Crane DPS Large side cabinet 
Schaltschrank mitfahrend AE 1350 500 x 500 x 300",0,Unassigned
1012 DU,"Bushing Ø10/12x12, Type: 1012 DU Tote Erector Snapper prong bushing",12,Unassigned
1012719,"Reflector PL20A Reflector Tote Erector 2.0, Pepperl + Fluchs VR10",17,Unassigned
1012720,"REFLECTOR PL40A,  White",27,Unassigned
1012897,WT18-2P430 photoelectric proximity switc PHOTO PROXIMITY SWITCH (replaced by WT18-3P430),3,Unassigned
10150067,Bearing 6002-2RS1,2,Unassigned
1015106,abg.WL27-2F431 photoelectric reflex swit WL27-2F431S09,1,Unassigned
1016361,DS60-P21111photoelectric prox.switch DS60-P21111,7,Unassigned
10175,PROXIMITY SWITCH non sap PROXIMITY SWITCH,0,Unassigned
1018283,WL9-2P430 photoelectric reflex switch PHOTO EYE REFLEX SWITCH,0,Unassigned
1019245,PHOTOEYE WL34-B430 photoelectric reflex switch,10,Unassigned
1019254,"WS/WE34-B430 one-way light barrier PAIR WS/WE34-B430
PAIR trans. and receive",6,Unassigned
1019268,PHOTOEYE WL9-2P630 ( replaced by new item) ( 1049066 ),0,Unassigned
102135,180 Eccentric Guide wheel Uremet Uremet Blue wheel,0,Unassigned
102136,140 Guide wheel Uremet Uremet Blue wheels,0,Unassigned
102137,"270x110 Drive wheel , Uremet Uremet Grey wheel",0,Unassigned
102162,FAZ-C4/2-NA Automat,1,Unassigned
10223,DILER-40-G(24VDC) contactor operated DIL_ER-40-G,20,Unassigned
102234,270x60 AP Drive wheel Uremet Uremet Grey wheels,0,Unassigned
102234_2,270x60 AP Drive wheel Uremet Uremet Grey wheels,0,Unassigned
102247,FAZ-C10/3-NA miniature circuit-breaker,30,Unassigned
102249,FAZ-C15/3-NA miniature circuit-breaker,1,Unassigned
1023844,"SCANNER
CVS CAP EX CLV421-0010",0,Unassigned
1023885,abg.CDB420-001 connection device basic CDB420-001,0,Unassigned
1023987,CLV420-1910S05 rasterscanner directly li CLV420-1910 REPLACED By ( 1046627 ),0,Unassigned
10256,04DILE contactor relays 4-pole 04_DIL-E,17,Unassigned
1025896,WT18-3P430 photoelectric reflex switch ( Replaces WT18-2P430),2,Unassigned
1025994,WTB27-3P2411 photoelectric proximity swi PHOTO PROXIMITY SWITCH ( replaces WT27-2F410),4,Unassigned
1026319,abg.WL27-2F136 light barrier Replaced by 1029081,0,Unassigned
1026319,WL27-2F136,1,Unassigned
1026635,CLV420-0910S07 line-scanner CLV420-1010,0,Unassigned
1027786,PHOTOEYE (replaces WL27-2F430)(WL27-3P2430 ) WL23-2P3430 LIGHT BARRIER,7,Unassigned
1027786_2,"WL23-2P3430 Photoelectric reflex switch Replaces WL27-3P2430
                  WL27-2F430
                  WT27-2F136",0,Unassigned
1027790,"WSE27-3P2430 Through-beam Photoelectric WE27-3P2430
WS27-3D2430 as a PAIR -SICK",6,Unassigned
10288,AUXILIARY CONTACTOR 22_DIL-E,6,Unassigned
1029081,WL27-3P3431 light barrier Replaces (1026319) WL27-2F136,4,Unassigned
1030_70046793,Stop_Ø15xØ8x8mm_Vulkollan_85 Sh-A,2,Unassigned
10304,40DILE contactor relays 4-pole 40_DIL-E,2,Unassigned
10311_00116,Auxiliary contact block Front 2S+2OE VARISTOR,1,Unassigned
10313_00122,3RT2016-2BB42 Contactor ***** Replacing  107042 *****,23,Unassigned
10332_00150,"2-conductor through terminal block 10qmm, 284-101",46,Unassigned
10341_00112,thermomagnetic protectionswitches,1,Unassigned
10352_00110,RAL7032 pre-selector,2,Unassigned
10390_00101,Impulse counter w/o reset Horizontal strapper strap cycle counter,0,Unassigned
1042256,"CDB620-001 junction box Replaces CDB420-001
scanner",5,Unassigned
1042259,"abg.CMC600-101 connection module cloning CMC600-101
scanner",10,Unassigned
104458,Track Wheel 156 With Bearing ,15,Unassigned
1046627,"CLV631-0300S50 Scanner REPLACES 1023987, 1028731, Uses M5 mount bolts",6,Unassigned
1048546,WTB27-3P3461 Sensor,1,Unassigned
104862,Return Flow Filter RF BN/HC 60 D C 20 A RF BN/HC 60 D C 20 A 1.0,1,Unassigned
104863,Filter Unit 0060 R 020 BN3HC,12,Unassigned
104868,Roller SR70 Kula 6004-2RS COMPLETELY WITH 2 BALL BE,2,Unassigned
104878,Rotating Pivot Bearings GE 50 UK,4,Unassigned
1049066,"Sensor WL9-3P3430 PHOTOEYE WL9-3P3430 Reflexion light barrier
Replaces WL9-2P630 (1019268)",16,Unassigned
1050913,WL9-3P3030S01 Light Sensor OLD WL9-2P130S01 WL9-2P130S01 photoelectric reflex switch,0,Unassigned
10510_00111,"WTB9-3P3461 Reflex switch Replaces WT9-2P630
Replaces WT9-2P620",7,Unassigned
1052929,LIGHT BARRIER WT9-2P620,13,Unassigned
10530_00104,"Incremental encoder iTD21 A4 Y82 512H Ni KR1 E14 iP54 21 encoder for lift/ Horizontal strapper, ITD21H00512HNIS21SG8E14IP65 (NEW)",1,Unassigned
10552_00119,MSI-SR4B-02 Safety relay,1,Unassigned
10561_00105,"SMT-8M-A-PS-24V-E-0,3-M8D Switch",0,Unassigned
10561_00111,Proximity switch Ind. XS1-N12PA349D,1,Unassigned
10630_00405,NEBV-Z4WA2L-R-E-5-N-LE2-S1,1,Unassigned
10650_00486,Straight screw connection QS-G1/4-12,10,Unassigned
10650_00714,90 PLUG non sap,0,Unassigned
106972,Rubber Stop 60/40/M12 68 Shore BUFFER,8,Unassigned
10700_00371,Push Button UP-KP Witron USB-Keyboard PUSHBUTTON (F5),13,Unassigned
107042,DILMC9-01 (24VDC) load contactor Replaces DILEM01G,7,Unassigned
10821989,"Retaining RIng 30x1, 5 DIN471 ",1,Unassigned
10824904,Hexagonal NUT M5 DIN985-8 ZN,0,Unassigned
10825905,keyway for strapper shaft. threaded shaft 73025116,0,Unassigned
10827690,"Shim 12x18x0,2 DIN988",0,Unassigned
10827781,"Shim 20x28x0,5 DIN 988",1,Unassigned
108448,Drive roller D=45 cpl. D=45 KPL.,38,Unassigned
109022,140 GUIDE WHEEL 140 TRACK WHEEL With Shaft Ecc,10,Unassigned
109036,Lens Head Screw M5 X 8 Torx M5 X 8 TORX,5,Unassigned
10920581,Clip for Spring D-59440-f D-59440-F,0,Unassigned
10920592,Tension spring D-59443-F D-59443-F,0,Unassigned
111357,"180 Eccentric Guide Wheel 
Magnus Crane
Mustang Crane Track Wheel 180 With Shaft ECC",5,Unassigned
111806,Clevis M8 M8,1,Unassigned
111816,Swing hood cpl. left black CPL. LEFT,0,Unassigned
111817,Swing Cape KPL. Right CPL. RIGHT,0,Unassigned
113176,"Compensator 2-Fach PAL-RBG TWO WHEELED BRACKET 
Rocker",3,Unassigned
113296,"Disc Spring 34X16.3X2,0 DIN 2093",20,Unassigned
113297,Sliding Bearing GFM-5055-40 BEARING,6,Unassigned
113378,"Magnus Wheel Vulkollan 350W.Axis L130 non eccentric shaft, includes bearings.      350 x 100",0,Unassigned
113519,Magnus Lift Belt Pulley Strap Wheel 122 F.100ATL 10,4,Unassigned
113519_2,Strap Wheel 122 F.100ATL 10 122 F. 100ATL 10,0,Unassigned
113903,Sensor Module LS Right C LS RIGHT C,0,Unassigned
113904,Sensormodul LT LI C SENSOR MODULE,25,Unassigned
113906,Sensormodul LT Left C LTF LEFT C,2,Unassigned
113907,Sensor Module LTF Right C LTF RIGHT C,0,Unassigned
113920,SENSOR MODULE non sap SENSOR MODULE,16,Unassigned
115082,Reflector 18X18 W.Bracket 18 X 19 M. HALTER,22,Unassigned
1155768,Z4V7H 336-11z limit switch Z4V7H-336-11Z-2138,1,Unassigned
115618,"WCS3-CS70-L2 Codebar WCS 3, 70MM",167,Unassigned
115618_3,"WCS3-CS70-L2 Codebar WCS 3, 70MM",72,Unassigned
115810,Sealings For Hydraulikcylinder Ø 60 mm,1,Unassigned
116796,Bar Brush RBG 2002 TYP 4005,7,Unassigned
117325,NBB4-12GM50-E3-V1 Induktiver Sensor NBB4-12GM50-E3-V1,3,Unassigned
117510,MOTOR ADAPTER PLATE MOTOR ADAPTER PLATE,3,Unassigned
119019,"Anti-Pendulum Drive Fixture
Double pin ANTI PENDULUM MOTOR MOUNT FIXTURE-wider rail gap",0,Unassigned
119021,Magnus and Mustang Drive Fixture (Lower End) Double pin CHASSIS DRIVE  BRACKET WITH SOCKETS (USED ON MUSTANG AND MAGNUS CRANES,0,Unassigned
119616,Reflector TKS 100X100 100 x 100  REFLECTOR,9,Unassigned
120-140A,Bus Rail Connector 120-140A Bus Rail Connector 120-140A,15,Unassigned
120275,Rotating Arm Compl. MPS Crane blocking device bracket,2,Unassigned
120943,DILAC-22  Replaces DILER-22-G(24VDC) mini contactor relay o DIL_ER-22-G,5,Unassigned
122936,Sealing Set Ø 70 mm Ø 70 mm,2,Unassigned
123407,Toothed belt 30AT5 1855 NT-V w.slot clos Lidder SLC belts L=1855,1,Unassigned
1234567890,emergency stop release key,0,Unassigned
124175,Shock Absorber CPL. CPL.,1,Unassigned
124669,"Pantograph KST 55 Phase 4m 10mm2 KST 55PE, 4M, 10MM2",0,Unassigned
124669_2,"Pantograph KST 55 Phase 4m 10mm2 KST 55PH, 4M, 10MM2",0,Unassigned
126903,Electric Magnet - Clutch 15 NM 14.105.08.3.5 - 24VDC,1,Unassigned
127185,"MPS Crane Telefork Gear
Large (CRA 2-7)
(Old Part # 185216) MPS cra2-7 teleforks large 
Bolt=15mm I=65mm
Gear Wheel M=2 Z=34
(Old Part # 185216)",13,Unassigned
128637,GAP CHECK BOTTOM GAP CHECK BOTTOM,2,Unassigned
128638,AL4016-R-1650/49/115b light curtain rece SAFETY CATCH,1,Unassigned
128828,"Gas pressure spring type 16-2-128-85 Gas Shock, 700 NM",10,Unassigned
129082,"Strip 500,0 X 50,00 X 25,0 500,0 X 50,00 X 25,0",1,Unassigned
129514,PLVScanP24-1116-48-2791/32 light curtain PLVScan Receiver,2,Unassigned
129514_2,PLVScanT24-1116-48-2791/32 light curtain Light Curtain Transmitter,1,Unassigned
13016651,ERBS180R350W Bremswiderstand,0,Unassigned
130396,"Sprocket 1"" Z=13  BG.30H7 1""    Z=13  BG.30H7",1,Unassigned
13058127,FAN HEAD FOR MOTOR MDFKABS 100-22(R2E175) non sap FAN HEAD FOR MOTOR MDFKABS 100-22 (R2E175),0,Unassigned
131097,"Gearmotor GKR03-2 M HAR 063C42 GKR03-2MHAR-063C42 BRAKE, Motor MDXMA2M063-42   i = 17,378",4,Unassigned
131215,"Gearmotor GST05-2MVCK-071C42 , Motor MDEMAxx071-42COU, i=22.778",3,Unassigned
13143911,EWAL001ZM-001 Plug-Terminated Cord Plug for motor 15355316,1,Unassigned
131453,GST04-2 MVCK 071C32-LEA Gear motor (131453) GST04-2MVCK-071C32,1,Unassigned
13168057,EWS1001 Motorplug 6-pole 6 pin plug,4,Unassigned
131782,BLOCKING DEVICE( ONLY MOTOR) E-96-BOR 20/20N-24V,2,Unassigned
131894,GST04-2MVCK071C32 B32TKO Gear motor GST04-2MVCK-071C32 BRAKE,0,Unassigned
13238775,GKR04-2M HBR 080C32 Gear motor 3883 D1-01 GKR 04-2M HBR 080C32,0,Unassigned
1323935,"Gearmotor GKR 03-2M HBR 063C32 , Motor MDXMA2M063-32",1,Unassigned
132611,"Gearmotor GST04-2 M VCK-063C42 , Motor MDEMABR063-42COU , Brake, i=28.333",1,Unassigned
132632,GST06-3M VCK 071C42 Gear motor GST06-3M VCK 071C42 BR08N,3,Unassigned
132900,Roll Guide For Counterweight COUNTERWEIGHT TOP,2,Unassigned
133203,"DRIVING DRUM CLUTCH HALF BG 80 HALF BG 80 (upgraded drum)\Large roller, front of NON inv. area.",0,Unassigned
1332EW426FZ,Socket Connector for Handheld 26P Socket/plug for Crane handheld desk,8,Unassigned
"1332EW426FZ, 10650_00944",FEMALE ADAPTER Interbus plug for cranes (DPS and MPS),7,Unassigned
1332MW426MZ,HandHeld Quick-Release Plug 3notch Plug in on Cabinet for hand held desk.,10,Unassigned
133508,A5 3 5/4 Bevel spur gearing motor GKS04-3M SAK 080C32BR08N (MPS CC Infeed Motor),1,Unassigned
133582,ID:13101195  GST04-2MVCK071C42 Gearmotor GST04-2MVCK-071C42 BRAKE,1,Unassigned
133583,GST05-2 M VCK 071C42 B 3/2 Gearmotor GST05-2MVCK-071C42 BRAKE,1,Unassigned
13366023,"Fan 9330
also need 20110_00318",1,Unassigned
13390595,E84AYCIBV/S module Interbus TL/SL,0,Unassigned
13423600,ERBP180R300W Widerstand 180 Ohm/ 300W,0,Unassigned
134377,AL4016-R-2969/49/115b light curtain AL4016-R-2969/49/115b,2,Unassigned
134378,AL4016-T-2969/76a/115b light curtain AL4016-T-2969/76a/115b,2,Unassigned
134411,"DPS Crane-
Input Conveyor Blocking Device Pivot Drive Mech. Typ2, 24VDC",4,Unassigned
134653,"Gear motor GST04-2MVCK-063C42 , Motor MDEMAXX063-42",1,Unassigned
13472990,"E84AVBDE7514SX2NEU BaseLine D 0,75 KW",0,Unassigned
134871,"Scale Electric Motor Pulley
CVS CAP EX ELECTRIC MOTOR PULLEY",2,Unassigned
134977,Roll Guide For Counterweight COUNTERWEIGHT BOTTOM,1,Unassigned
135016,BLOCKING DEVICE ROTARY DRIVE / Smaller complete unit,0,Unassigned
13523095,"13523095/GST-M55AP Gearmotor 
Pem element 5 Sidewall motor , Motor M55AP0900l045EFRUT 
1,8KW; N=754,5 1/MIN; KK5 GST04-1MVBR-090C32; I=2.24",1,Unassigned
13585,Stop washer 6 mm NR.1840-6,0,Unassigned
137144,GST04-2M VCK 071C32 Getriebemotor (137144) GST04-2MVCK-071C32 BRAKE,0,Unassigned
13808,Bearing Bush 20 X 26 X 28 sleeve,2,Unassigned
13866,Distance Bush FORMNR.1110,0,Unassigned
139424,FLANGE BEARING INUT Z-LIFT SHAFT,3,Unassigned
139498,Compensator (pre-assembled) CRANE WHEELs MPS Trolley,0,Unassigned
139895,Force Transducer 2500KG 2500 KG,1,Unassigned
1400_014507,"Eccentric Bolt- Catch Wheel 1400_014507
Bolt Eccentric Catch wheel SW41/42",2,Unassigned
1400_70011951,Drive shaft SLC SB390 d25,1,Unassigned
1400_80001025A,Axis 20/160,1,Unassigned
14008,"Disc Spring 40 x 20.4 x 1.5 40 X 20,4 X 1,5",2,Unassigned
14024854 / 667227,BALL Sensor BES01Y9,0,Unassigned
140329,Flange Disc FLANGE PLATE,25,Unassigned
14059,Hinge Galv. DIN 71802 AS 13 AS 13,3,Unassigned
14064,"Ball Joint Rod End AS 13 L AS 13 L
(blocking device from rotary arm to flap)",1,Unassigned
14068,Joint Socket GIR 8 UK GIR 8 UK,6,Unassigned
14069,Joint Socket GIR 10 UK GIR 10 UK,4,Unassigned
14070,Joint Socket GIR 12 UK GIR 12UK,6,Unassigned
14078,Joint Socket GIL 10 UK GIL 10UK,3,Unassigned
14079,Joint Socket GIL 12 UK GIL 12UK,2,Unassigned
14100,Guide Shoe HSM 6 6-16 HSM 6 6-16,1,Unassigned
14101,Add on Piece  FS 9 FS 9,1,Unassigned
14103,Rail Oil Device AK 10 AK 10,1,Unassigned
141151,Round steel 30 H6 X L=1410 BK Lifting Shaft for T/C 30 Pallet stacker.,1,Unassigned
14165,DP GR Ball Bear 6005 2RS -30°C110°C 6005 2 RS,4,Unassigned
14166,Deep groove ball bearing 6006 2RS1 DP GR BALL BEARING 6006 2RS,4,Unassigned
141722,Slide Attachment VAS 10-T/S BUS RAIL HOLDER,20,Unassigned
142169,Roller 60X3.0 KL EL=420 IG.M8 60X3.0 KL EL=420 IG.M8,0,Unassigned
142170,Roller 60 X 3.0 KL EL=620 60 X 3.0 KL EL=620,2,Unassigned
142738,Fixed Bearings GE 30 UK GE 30 UK,2,Unassigned
143192,Sensor Rail CPL. CPL. (VKS),7,Unassigned
143358,Guide Rail L=1430 L=1430,6,Unassigned
14361,Track Roller LR 5206 KDDU 5206 KDDU,1,Unassigned
14366,Support roller natr 8PP SUPPORT ROLLER NATR 8PP,3,Unassigned
14385,Flangebearing UCF 206 GG Quad -15 +100°C UCF 206 GG QUAD,6,Unassigned
14389,Flange Bearing UCF 210 GG Quad UCF 210 GG QUAD,2,Unassigned
14403,Flanged bearing UCFL 205 UCFL 205,2,Unassigned
14405,Flange Bearing Oval UCFL 207 GG UCFL 207 GG OVAL,1,Unassigned
144188,GST05-2M VCK 071C42 LEA Gear motor 144188 GST05-2MVCK-071C42 BRAKE,1,Unassigned
144722,Guidance 80 L=170 KPL. 80 L=170 CPL.,3,Unassigned
144791,Guidance 100 L=170 KPL. 100 L=170 CPL.,3,Unassigned
145204,Square Chain Pusher Block  (Orange Cover ONLY) Coated lining for pusher cam 2,17,Unassigned
145253,Link Chain M2620 147 Links M2620 147 LINKS,4,Unassigned
145254,Sprocket M26S1860Q8 Z=18 M26S1860Q8 Z=18,8,Unassigned
145307,Sliding Element KT2004 KT 2004 ( Blue Slide ),26,Unassigned
14545,Flangebearing UFL004AL OVAL -30°C +110°C UFL  004 AL OVAL,3,Unassigned
145572,Servomotor MDSKSBS 071-13 M.Brake UL MDSKSBS 071-13 BRAKE,3,Unassigned
145695,"D-Sprocket 1""   Z=21 BG.80 1""   Z=21 BG.80",1,Unassigned
145734,PINION SHAFT  MPS cra 1 dept1 non drive side M = 2 TOOTH = 22,5,Unassigned
145916,Roller Chain 16B-1 X 40 Links 16B-1 X 40 LINKS WITH PUS,1,Unassigned
14627,Circlip 8 x 0.8 8 X 0.8,0,Unassigned
14633,Retaining Ring 15 x 1 OMEGA DRIVE,4,Unassigned
14635,Locking Ring-Wave 17 X 1 DIN 471 17 X 1,52,Unassigned
14636,"Locking Ring 18 X 1.2 18 X 1,2",18,Unassigned
14643,"Locking Ring DIN 471, 25x1,2 25 X 1.2",69,Unassigned
14660,Locking Ring 50 X 2 50 X 2,2,Unassigned
146647,Brake Shoe With PU Cover VULKOLLAN 80 SHORE A,1,Unassigned
146899,"Roller 50 M. EL=113 pipe galvanized 1 of 3 rollers at inbound lanes, order also 146901, 146902",6,Unassigned
146901,"Roller 50 M. EL=156 pipe galvanized 2 of 3 rollers at inbound lanes, order also 146899, 146902",6,Unassigned
146902,"Roller 50 M. EL=200 pipe galvanized 3 of 3 rollers at inbound lanes, order also 146899, 146901",6,Unassigned
14699,Locking Ring 47 X 1.75 47 X 1.75,1,Unassigned
147157,Mounting chain OT KT2004 KT2004,1,Unassigned
147705,DPS Telefork Rack Lower Fork MIDDLE Shaft MT F. L=1280,3,Unassigned
147706,DPS Telefork Rack Lower Fork OUTER Shaft MT F. L=1280,6,Unassigned
147974,"Toothed Belt 32AT10/2940 NT-V (147974) 32 AT10/2940 NT-V
DPS crane table SLC",15,Unassigned
148275,Belt tensioner T Cart belt tensioner/clamp,2,Unassigned
148438,"Compact Double Collector KDS2/40-7-14HS 7 Arms, 7 Collectors, 14 Wire Leads, Metal Mounting Bracket",1,Unassigned
14844,CONNECTING LINK 10B-1 5/8X3/8 DIN 8187,6,Unassigned
150192,Drive shaft  C/Z conveyor cpl.,1,Unassigned
15025075,"DPS Mustang Telefork SLC Motor MCS06F60RS0P1-B11N-ST5S00
MCS06 Servo motor",2,Unassigned
150849,"Proximity Switch SMEO-4-S-LED-24B T913 Festo
Logopak Telescopic Fork",4,Unassigned
150857T813,Festo Proximity Switch and Wire 150 857 T813 Festo Proximity Switch and Wire 150 857 T813,2,Unassigned
15090238,"Gear motor , Gear box GKR03-2M HAR071C42, Motor MDEMAXX071-42U.",2,Unassigned
15091,CONTACT non sap 04 DIL,0,Unassigned
151160,Restrictor valve GRLA-M5-B GRLA M-5B,10,Unassigned
151957,"Turnaround Wheel
Deviation Pulley D=30 MM",1,Unassigned
152275,COLLECTOR KST 30-55 (BASE AND ARM - PHASE),0,Unassigned
152276,Collector Arm Complete Ground GROUND ARM W/BRUSH NO WIRE KST 30-55 Ground,8,Unassigned
152816,GUIDE GLIDE CHAIN ENDS GUIDE GLIDE CHAIN ENDS,0,Unassigned
15342719,GKS04-3M HBR 071C42 Gearmotor GKS04-3M HBR 071C42,0,Unassigned
15353888,GST05-2M VCK 071C32 Gearmotor (131134) GST05-2MVCK-071C32,0,Unassigned
153649,"BEVEL GEAR 
Mps lift gearbox
(CVS CAP EX) MKSH 16 BA70 E-F
I=16,8",0,Unassigned
153655,Tooth Belt Powergrip GT2 776-8MGT-20 POWERGRIP GT2 776-8MGT-20,2,Unassigned
15379552,"GKR05-2M HBR 071C42 Gearmotor 3882G 1-01 , GKR 05-2M HBR 071C42, Motor  MDXMA2M071-42",1,Unassigned
15379732,"GKR05-2M VAK 071C42 Gear motor (195181)
CVS CAP EX GKR05-2M VAK 071C42",0,Unassigned
153811,"Chain Conveyor End Cap (Left) 3/4""  Z=13 LEFT
Head Piece 3/4"" CPL. KU Left",5,Unassigned
153812,"Chain Conveyor End Cap (Right) 3/4""  Z=13 RIGHT
Head piece  3/4"" KPL. KU R New",7,Unassigned
15433,"Central unit 6ES7 313-5BE01-0AB0
CVS CAP EX 6ES7 313-5BE01-0AB0",1,Unassigned
15436581,"GKS04-3M HBR 071C42 Gear motor
CAP EX GKS04-3M HBR 071C42 (Tote Turntable Motor) OLD #37972 , Motor MDEMAR071-42COU",1,Unassigned
15436602,"GKS04-3M HBR 071C42 Gear motor GKS04-3M HBR 071 C42
(Tote Stacker LAC4/14 Motor) OLD #37973, Motor GKS04-3MHBR07IC 42",1,Unassigned
15438668,"GST06-2M VCR 090C11 Gear motor GST06-2M VCR 090-31 BL , Motor MDEMABL090-11 C0U",1,Unassigned
154438-5,"Bus bar collector KST 55 PH KST 55PH, 4M, 6MM2",0,Unassigned
155137,"Gear Motor GSS05 2M HAR 090 C32 (196334) GSS05 2M HAR 090 C32 , Motor MDEMAXX090-32CIV",1,Unassigned
155466,"Repack Hydraulic Lift Relay Module V2.1 Prop V2.1
PROP-MODULE
Altek",3,Unassigned
155585,Thermo Switch (70°C) TSE-70/X/12 TSE-70/X/12,1,Unassigned
15753075,15753075/G50AB-MDXMA Gearmotor GKR03-2MSAR-071C32 BRAKE,1,Unassigned
157844,"Diagonal Chain Pusher Block (Orange Cover, no mount) TRANSFER HEAD PU H=30",19,Unassigned
15788,REFLECTOR Reflector 31 X 46,17,Unassigned
159342,CHAIN CONFIGURATION KSAS KSAS NB420 H30 SCH.,3,Unassigned
159344,CHAIN CONFIGURATION KSAS KSAS NB420 H30,2,Unassigned
160083,MPV00/H100 BA 70 I=35 Gearbox TYP MPV00-H100,0,Unassigned
1610.04.000-ZB,ZB CHAIN TENSIONER non sap BI. 5,2,Unassigned
163442,Slipprotector Tape Safety-Walk-B2 B2,0,Unassigned
163442_2,Slipprotector Tape Safety-Walk-B2 GRIP TAPE,50,Unassigned
16359800B,LOAD CELL non sap ALUM. BLOCK,0,Unassigned
163685,DRIVE UNIT CPL. D=20  non sap ERNUT,0,Unassigned
164574,"Circle Lift Push Arm Belt BRECOFL.32 T20 DL
Tooth Belt Brecofl. 32T20DL 2340MM Endl.",7,Unassigned
164754,"Excenter- Radbolzen D 17, Circle Lift",10,Unassigned
164757,CIRCLE LIFT PUSH-ARM (Arm ONLY) PUSH ARM,0,Unassigned
164765,Distance Disk (Pusher Arm Circle Lift) DISTANCE DISK,14,Unassigned
164766,Distance washer (Pusher Arm Circle Lift) Distance Flat washer,10,Unassigned
164944,Circle Lift Push Arm ATTACHMENT PIN PIN Circle  Lift,12,Unassigned
164944_2,Carrier pin Circle lift pin on belt clamp,0,Unassigned
164947,Carrier Push arm assembly circle lift,2,Unassigned
164953,TIMING BELT PULLY WITH SHAFT BELT GEAR ( Circle Lift Cog w/ shaft ),3,Unassigned
165105,Driveshaft With Bearing CPL. RF SPW=297,0,Unassigned
