|||||||||||||||||
DPS Week|
|2020-15|
Week 15|
1608035|40.01|38.09|7.87|25.00|91.04%|105.05%|107.30%|99.98%|26|2|5|24|18|2|0
1770427|11.45|10.92|3.72|0.00|84.38%|104.80%|106.58%|99.94%|40|2|4|8|3|1|7
1306252|35.73|34.15|10.28|46.00|90.68%|104.60%|102.06%|99.98%|19|5|7|25|14|72|1
1746114|26.87|25.73|9.20|74.00|90.75%|104.45%|103.35%|99.95%|40|7|11|24|9|5|0
1257571|32.23|30.87|12.45|53.00|86.12%|104.40%|104.17%|99.96%|26|12|9|32|13|10|21
1856072|37.61|36.12|8.92|0.00|88.09%|104.11%|105.95%|99.88%|108|5|9|32|20|2|0
1769037|21.06|20.23|4.53|0.00|90.38%|104.11%|103.68%|99.91%|59|1|8|21|15|3|5
1807930|38.80|37.30|8.83|0.00|90.56%|104.00%|104.80%|99.98%|20|0|0|19|18|3|0
1817289|35.44|34.13|10.47|26.00|90.15%|103.84%|102.00%|99.96%|36|4|13|24|10|21|5
1820839|22.35|21.52|5.72|0.00|80.51%|103.84%|105.19%|99.80%|130|7|0|14|11|26|2
1535050|24.66|23.79|5.42|11.00|72.52%|103.67%|NO DATA|99.94%|14|4|12|33|18|3|0
1841431|33.94|32.74|9.70|0.00|89.22%|103.66%|105.63%|99.99%|7|4|6|28|17|5|1
1396843|38.54|37.31|7.75|0.00|89.39%|103.29%|101.58%|99.97%|39|0|4|18|15|15|0
1398466|40.32|39.05|5.47|0.00|96.60%|103.25%|103.22%|100.00%|1|1|6|22|16|33|0
1831683|27.34|26.51|9.03|18.00|86.09%|103.14%|100.61%|99.95%|45|4|11|26|15|5|7
1535634|35.04|34.02|10.22|70.00|92.02%|102.99%|101.81%|99.97%|28|0|3|16|13|48|0
1840884|35.73|34.80|8.00|0.00|90.61%|102.67%|102.95%|99.81%|217|0|6|25|20|11|2
1584539|33.92|33.04|10.87|81.00|88.71%|102.66%|103.23%|100.00%|3|7|32|48|14|44|8
1738999|32.65|31.85|6.95|8.00|89.45%|102.50%|104.31%|99.95%|49|0|2|16|15|12|4
1740655|37.82|36.90|7.02|0.00|85.54%|102.50%|103.72%|99.95%|48|3|6|23|17|5|0
1832466|25.16|24.56|9.95|43.00|105.04%|102.45%|101.28%|99.93%|60|4|22|53|27|0|5
1116620|21.12|20.66|4.05|0.00|90.43%|102.24%|95.93%|99.98%|13|1|4|10|6|6|1
1519995|22.05|21.58|9.55|84.00|81.31%|102.20%|98.83%|99.95%|36|10|6|23|10|34|3
1796842|28.18|27.65|8.33|0.00|87.59%|101.94%|103.28%|99.99%|11|3|4|18|11||
1853836|35.50|34.88|7.25|48.00|91.56%|101.79%|102.36%|99.94%|54|3|4|23|19|4|0
1181287|27.99|27.60|6.68|55.00|90.47%|101.42%|98.82%|99.97%|26|2|1|16|14|13|2
1448131|38.77|38.30|5.63|0.00|92.26%|101.23%|100.01%|100.00%|1|3|3|28|22|2|1
1533996|18.23|18.08|4.77|0.00|70.64%|100.85%|98.69%|99.87%|57|12|7|27|8|9|0
1504349|41.57|41.28|5.03|0.00|98.65%|100.71%|100.14%|99.99%|17|1|1|24|22|27|0
1803979|27.33|27.17|4.82|0.00|91.11%|100.57%|104.31%|99.87%|117|1|1|17|16|3|0
987153|35.85|35.78|4.35|0.00|112.29%|100.19%|NO DATA|100.00%||1|7|26|18|6|0
1800956|27.57|27.64|7.67|11.00|86.01%|99.74%|101.41%|99.98%|17|4|4|18|12||
