DPS Table,
Today,8
Tomorrow,8
Staffing,8
Available Pick,765285
"+/-" Projections,275000
1st Goal,300000
TO OB,06/08/2016
2nd Goal,275000
WVS Ahead,2
Previous Day Utilization,63
Next Day Projection,590392
PPL FS,3
Rx,4.71
Comments,Words Here
